transaction_id,transaction_date,customer_id,product_id,store_id,quantity,total_amount
81,2023-03-22,40,4,31,6,34.72
82,2023-03-23,53,54,19,5,44.14
83,2023-03-24,48,15,31,5,293.33
84,2023-03-25,93,64,33,6,345.71
85,2023-03-26,42,19,48,3,929.92
86,2023-03-27,7,17,63,2,334.9
87,2023-03-28,8,75,14,3,241.71
88,2023-03-29,3,95,89,3,294.11
89,2023-03-30,39,25,39,6,347.1
90,2023-03-31,55,11,33,5,502.89
91,2023-04-01,14,16,96,5,764.64
92,2023-04-02,3,3,98,3,413.59
93,2023-04-03,46,89,58,1,411.62
94,2023-04-04,24,96,83,9,658.9
95,2023-04-05,21,59,54,9,511.32
96,2023-04-06,64,74,70,2,592.5
97,2023-04-07,13,92,81,4,611.48
98,2023-04-08,70,56,55,2,276.91
99,2023-04-09,54,57,80,4,97.04
100,2023-04-10,16,77,72,7,58.52
