transaction_id,transaction_date,customer_id,product_id,store_id,quantity,total_amount
41,2023-02-10,38,83,27,7,667.04
42,2023-02-11,27,96,57,8,320.57
43,2023-02-12,62,57,6,9,784.73
44,2023-02-13,63,34,20,6,434.04
45,2023-02-14,58,99,18,3,813.32
46,2023-02-15,67,87,58,8,369.9
47,2023-02-16,65,4,82,6,528.64
48,2023-02-17,56,85,90,8,152.93
49,2023-02-18,11,29,37,5,88.42
50,2023-02-19,31,66,16,9,438.73
51,2023-02-20,23,35,19,4,349.42
52,2023-02-21,57,74,96,1,991.5
53,2023-02-22,35,54,61,5,893.31
54,2023-02-23,4,88,90,2,795.13
55,2023-02-24,72,18,3,8,356.93
56,2023-02-25,11,70,26,2,837.44
57,2023-02-26,98,53,11,8,609.06
58,2023-02-27,16,70,68,8,350.16
59,2023-02-28,95,64,42,8,257.27
60,2023-03-01,41,18,23,7,713.98
