transaction_id,transaction_date,customer_id,product_id,store_id,quantity,total_amount
1,2024-01-01,1,101,1,1,1000.0
2,2024-01-02,2,102,2,2,1600.0
3,2024-01-03,3,103,3,1,300.0
4,2024-01-04,4,104,1,3,300.0
5,2024-01-05,5,105,2,2,400.0
6,2023-01-06,45,28,95,6,591.25
7,2023-01-07,80,97,88,5,35.4
8,2023-01-08,84,99,62,3,914.67
9,2023-01-09,80,35,36,2,162.35
10,2023-01-10,21,36,87,4,361.19
11,2023-01-11,48,48,15,9,941.64
12,2023-01-12,3,42,43,1,518.28
13,2023-01-13,34,30,61,6,495.46
14,2023-01-14,37,32,42,7,265.9
15,2023-01-15,20,81,61,2,133.6
16,2023-01-16,12,26,6,3,640.31
17,2023-01-17,13,42,60,3,364.64
18,2023-01-18,89,72,95,1,358.64
19,2023-01-19,35,27,57,6,896.92
20,2023-01-20,3,6,48,3,21.36
